"upedonid","MO","MOGr","LU","MOGrLU","rcasiteid","upedon","Sample_count","SOCstock5","SOCstock30","SOCstock100","total_thickness","SOC_count","Lab_count","Depth_to_R","Non-R_SampleCount","SOC_thickness","USE"
"A0108P92-1",1,108,"P","0108P","A0108P92","A0108P921",5,15.1263604130942,76.0220728111933,100.113941479444,150,4,5,NA,5,100,"100"
"A0116P90-1",1,116,"P","0116P","A0116P90","A0116P901",4,35.4817204220185,95.9655571596338,242.002573229696,100,4,4,NA,4,100,"100"
"A0116P94-1",1,116,"P","0116P","A0116P94","A0116P941",3,36.8270553502387,104.147732963467,293.079581161858,100,3,3,NA,3,100,"100"
"A0116X97_1",1,116,"X","0116X","A0116X97","A0116X971",4,6.95062045587668,29.8547810896055,69.735243895192,100,4,4,NA,4,100,"100"
"A0120R93-1",1,120,"R","0120R","A0120R93","A0120R931",5,13.0729819436667,53.2499708806964,116.996856229881,68,4,5,68,4,68,"100"
"A0201F96-1",2,201,"F","0201F","A0201F96","A0201F961",4,6.78576144390439,24.8407917869814,29.3874374690865,40,3,4,40,3,40,"100"
"A0201F99-1",2,201,"F","0201F","A0201F99","A0201F991",3,3.71967220731388,40.2226513313854,40.2226513313854,28,2,3,28,2,28,"100"
"A0204P96-1",2,204,"P","0204P","A0204P96","A0204P961",4,10.4403756656198,55.089602556393,71.3064612644003,42,3,4,42,3,42,"100"
"A0208P94-1",2,208,"P","0208P","A0208P94","A0208P941",5,3.53768298652263,12.2208515396368,21.4537731592135,69,4,5,69,5,69,"100"
"A0209P89-1",2,209,"P","0209P","A0209P89","A0209P891",3,10.5133503317168,52.8827416308071,74.8869858592311,51,3,3,NA,3,51,"100"
"A0209P90-1",2,209,"P","0209P","A0209P90","A0209P901",4,6.45659545438324,16.0484629214556,NA,100,3,4,NA,4,90,"30"
"A0210R87-1",2,210,"R","0210R","A0210R87","A0210R871",4,2.51539671276474,9.65072502086458,24.1491694232448,100,4,4,NA,4,100,"100"
"A0215P99-1",2,215,"P","0215P","A0215P99","A0215P991",4,8.94701242180586,26.7878232736165,57.107740782807,100,4,4,NA,4,100,"100"
"A0216P99-1",2,216,"P","0216P","A0216P99","A0216P991",4,8.66810442333641,27.4353338505905,41.2390055403051,100,4,4,NA,4,100,"100"
"A0218R94-1",2,218,"R","0218R","A0218R94","A0218R941",5,42.6911878240866,101.577969392287,256.531805975518,100,5,5,NA,5,100,"100"
"A0219P96-1",2,219,"P","0219P","A0219P96","A0219P961",8,13.4039994563362,39.6816112626126,61.4977526955476,100,8,8,NA,8,100,"100"
"A0220R97-1",2,220,"R","0220R","A0220R97","A0220R971",4,4.99652782998472,7.57966587914475,NA,80,3,4,NA,4,58,"30"
"A0220R98-1",2,220,"R","0220R","A0220R98","A0220R981",5,121.944029035071,634.904684319737,697.895937083928,100,5,5,NA,5,100,"100"
"A0220R99-1",2,220,"R","0220R","A0220R99","A0220R991",2,0.316312305240683,1.26700964625535,2.02756751906708,50,2,2,NA,2,50,"100"
"A0305R90-1",3,305,"R","0305R","A0305R90","A0305R901",3,6.10191838823959,12.1168658220308,28.7678293838082,100,3,3,NA,3,100,"100"
"A0305R92-1",3,305,"R","0305R","A0305R92","A0305R921",3,11.0063583115506,31.6705478085011,39.9362236072813,65,2,3,40,2,40,"100"
"A0305R94-1",3,305,"R","0305R","A0305R94","A0305R941",3,2.5874944705848,20.1301033251195,20.1301033251195,100,2,3,22,2,22,"100"
"A0305R97-1",3,305,"R","0305R","A0305R97","A0305R971",3,0.552620568573574,2.94359828877623,31.6152711537807,100,3,3,NA,3,100,"100"
"A0306R88-1",3,306,"R","0306R","A0306R88","A0306R881",3,0.844875041162983,5.43774298133083,5.43774298133083,102,2,3,30,3,30,"100"
"A0306R91-1",3,306,"R","0306R","A0306R91","A0306R911",3,0.454602312493508,3.02367599701807,4.8360281481923,45,3,3,20,2,45,"100"
"A0306R92-1",3,306,"R","0306R","A0306R92","A0306R921",3,1.04487508252073,5.65210587726814,7.4949981951671,102,2,3,40,3,40,"100"
"A0306R93-1",3,306,"R","0306R","A0306R93","A0306R931",4,2.8637265351753,7.05179151067844,8.89454009989982,68,2,4,41,3,41,"100"
"A0306R96-1",3,306,"R","0306R","A0306R96","A0306R961",3,0.661095713521871,3.26743189649091,3.26743189649091,100,2,3,20,2,20,"100"
"A0306R99-1",3,306,"R","0306R","A0306R99","A0306R991",3,4.10113619398836,13.5251233947979,21.0643131554456,100,2,3,50,2,50,"100"
"RaCA11UTKC0151",8,801,"F","0801F","A0801F97","A0801F971",4,3.5143878111423,8.95835151367399,8.95835151367399,100,3,4,23,3,23,"100"
"RaCA11AZBS196",8,801,"R","0801R","A0801R97","A0801R971",3,1.38955523579684,5.40682749138738,14.6636248707313,100,3,3,NA,3,100,"100"
"RaCA11NMJR126",8,806,"R","0806R","A0806R89","A0806R891",3,1.71280349167184,15.4547922448896,47.2918484666384,100,3,3,NA,3,100,"100"
