RaCA_Id,Gen_lat,Gen_long
C0107F02,48.27,-124.65
C0104F05,47.92,-124.52
C0104F09,47.9,-124.5
C0120P02,42.8,-124.49
C0104F03,46.8,-124.48
C0120P01,42.9,-124.48
C0118F01,42.91,-124.43
C0104P04,47.95,-124.38
C0209F07,42.31,-124.36
C0104F07,47.74,-124.26
C0218P04,40.64,-124.25
C0203P03,40.59,-124.19
C0105F09,47.66,-124.18
C0108F05,47.18,-124.12
C0209P03,41.82,-124.1
C0206P03,40.91,-124.09
C0215F04,41.87,-124.06
F0117F01,48.11,-124.04
C0101W05,47.1,-124.04
C0119F02,46.4,-124.03
C0101W04,46.4,-124.03
C0101W10,46.34,-123.98
C0104F04,44.78,-123.94
C0107P01,44.78,-123.92
C0101W08,46.11,-123.91
C0108P02,45.46,-123.85
C0106F03,42.97,-123.84
F0120F01,43.7,-123.8
C0120P06,46.37,-123.79
C0104P03,46.37,-123.79
C0206F06,39.46,-123.78
C0104F10,46.87,-123.77
C0206F04,39.27,-123.77
C0206F01,39.35,-123.76
C0217F03,39.8,-123.76
C0108F02,46.31,-123.72
C0217F02,39.74,-123.68
C0117F03,46.16,-123.67
C0104F08,45.76,-123.67
C0209F03,43.04,-123.66
C0108W05,46.95,-123.66
C0209F08,42.91,-123.65
C0206F03,38.85,-123.63
C0114P03,43.64,-123.62
C0104F06,46.37,-123.62
C0217F05,39.04,-123.61
C0105F05,47.01,-123.6
C0208F05,43.43,-123.6
F0202R10,41.68,-123.58
C0215F03,39.41,-123.58
C0103F03,45.01,-123.57
C0103F04,45.83,-123.57
F0105R10,47.43,-123.53
C0206P04,43.18,-123.51
C0219P01,43.26,-123.51
C0206P05,43.36,-123.5
C0118F05,44.78,-123.48
F0105R05,47.38,-123.46
C0120P05,46.28,-123.45
C0120F05,43.65,-123.45
C0115F04,47.14,-123.45
C0208F02,43.48,-123.44
C0114P02,44.61,-123.43
C0217F04,39.25,-123.42
C0209P02,42.43,-123.41
F0105R06,47.35,-123.4
